iter	Passed	Remaining
0	1	139
1	2	129
2	3	126
3	4	116
4	6	116
5	7	116
6	8	114
7	9	113
8	11	112
9	12	110
10	13	109
11	14	108
12	15	106
13	17	105
14	18	103
15	19	102
16	20	101
17	21	99
18	23	98
19	24	96
20	25	95
21	26	94
22	27	93
23	29	92
24	30	91
25	31	90
26	32	88
27	33	87
28	35	86
29	36	85
30	37	83
31	38	82
32	40	81
33	41	80
34	42	78
35	43	77
36	44	76
37	46	75
38	47	73
39	48	72
40	49	71
41	50	69
42	51	67
43	52	66
44	53	65
45	54	64
46	56	63
47	57	62
48	58	60
49	59	59
50	61	58
51	62	57
52	63	56
53	64	55
54	65	53
55	67	52
56	68	51
57	69	50
58	70	49
59	72	48
60	73	46
61	74	45
62	75	44
63	76	43
64	78	42
65	79	40
66	80	39
67	81	38
68	83	37
69	84	36
70	85	34
71	86	33
72	88	32
73	89	31
74	90	30
75	91	29
76	93	27
77	94	26
78	95	25
79	96	24
80	98	23
81	99	21
82	100	20
83	101	19
84	103	18
85	104	16
86	105	15
87	106	14
88	107	13
89	109	12
90	110	10
91	111	9
92	112	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	121	0
